name,address,website,phone_number,reviews_count,reviews_average
सफ्टेक इंफोसिस प्रा। लिमिटेड,"सहभागीता मार्ग, काठमाडौँ 44600",http://www.softechinfosys.com/,01-4482444,24,4.2
"Leapfrog Technology, Inc.","Charkhal Rd, काठमाडौँ 44605",http://www.lftechnology.com/,01-4519766,227,4.3
NITV Nepal,"Bansbari, Kapan Marg, House number 151 Near Thai Embassy, Kathmandu, Nepal, काठमाडौँ 44600",http://www.newitventure.com/,01-4373441,26,4.5
IT Himalaya Pvt.Ltd,"Kulratna Marg, काठमाडौँ 44600",,,24,4.5
Bidhee Pvt. Ltd.,"Basuki Marg, काठमाडौँ 44600",https://bidhee.com/,980-1079411,56,4.4
आर्टिफिसियल इन्फो टेक प्रा. लि.,"Gaurighat Marg, काठमाडौँ 44600",,985-1152379,14,5.0
Proshore Nepal Pvt. Ltd,"Muni Bhairab Marg, काठमाडौँ 44600",http://www.proshore.nl/,01-5199069,39,4.5
WebPal - Leading Software Development Agency,काठमाडौँ 44600,https://webpal.biz/,980-1096633,107,4.9
Paradise InfoTech - IT Company in Nepal,"Shukra Bhawan, ठमेल मार्ग, काठमाडौँ 44600",http://www.paradiseinfo.tech/,01-4543024,18,4.8
स्पेल इनोभेसन,"M8XP+W7 Kathmandu, काठमाडौँ 44600",https://spellinnovation.com/,01-5910781,16,5.0
